"Artist","Album","Songs","Plays Per Song"
"Mac Miller","Swimming",13,455.230769230769
"Khalid","American Teen",15,299.4
"Rich Brian","Amen",14,234.285714285714
"Jaden","SYRE",13,242.846153846154
"Mac Miller","Circles",14,207.142857142857
"Jaden","ERYS",12,200.5
"Khalid","Free Spirit",17,124.117647058824
"The Score","ATLAS",16,119.3125
"Lil Skies","Life of a Dark Rose",9,206.666666666667
"Travis Scott","ASTROWORLD",17,106.470588235294
"Joji","BALLADS 1",12,149.833333333333
"Juice WRLD","Goodbye & Good Riddance",7,238.857142857143
"Mac Miller","GO:OD AM",15,106.066666666667
"Mac Miller","The Divine Feminine",10,150.8
"Post Malone","Hollywood's Bleeding",11,126.636363636364
"Jack Harlow","Confetti",12,115.5
"Mac Miller","Blue Slide Park",16,86.3125
"Lil Mosey","Northsbest",3,454
"Post Malone","Stoney",10,132.2
"J. Cole","2014 Forest Hills Drive",7,178.857142857143
"Ski Mask The Slump God","STOKELEY",7,174.857142857143
"Imagine Dragons","Night Visions",5,230
"Dreamville","Revenge Of The Dreamers III",8,143.5
"NF","Perception",9,124.555555555556
"Rex Orange County","Sunflower",12,91
"Mac Miller","K.I.D.S.",17,63.6470588235294
"Big Time Rush","BTR",11,95
"Calvin Harris","Funk Wav Bounces Vol.1",7,148.285714285714
"Coldplay","A Rush of Blood to the Head",4,255.25
"Imagine Dragons","Evolve",3,334.333333333333
"Lil Uzi Vert","Eternal Atake",21,47.4285714285714
"Post Malone","beerbongs & bentleys",17,56.1176470588235
"Jack Harlow","Sweet Action",7,135.571428571429
"Logic","YSIV",4,227.75
"Logic","Bobby Tarantino II",13,69.6153846153846
"Declan McKenna","What Do You Think About the Car?",11,79.3636363636364
"The Weeknd","Black Panther The Album Music From And Inspired By",4,215
"Saint Motel","My Type EP",2,410.5
"Kendrick Lamar","DAMN.",3,265.333333333333
"NF","The Search",21,36.9047619047619
"Mac Miller","Best Day Ever (5th Anniversary Remastered Edition)",16,48.25
"G-Eazy","The Beautiful & Damned",17,45.3529411764706
"OneRepublic","Waking Up",4,192
"Glass Animals","Dreamland",7,108.857142857143
"Coldplay","Parachutes",3,241.666666666667
"The Score","Carry On",15,48.2666666666667
"Lil Tecca","We Love You Tecca",8,88
"Dayglow","Fuzzybrain",10,70.1
"Coldplay","Ghost Stories",2,348
"Quavo","QUAVO HUNCHO",3,231.666666666667
"Tame Impala","Currents",4,172.75
"Rex Orange County","Apricot Princess",10,68.5
"Mac Miller","Macadelic (Remastered Edition)",17,39.7058823529412
"Milky Chance","Sadnecessary",3,224.333333333333
"Mac Miller","Best Day Ever",4,167.25
"Briston Maroney","Carnival",8,81.375
"OneRepublic","Native",4,154
"Jaden","The Sunset Tapes: A Cool Tape Story",8,75.375
"Travis Scott","Birds In The Trap Sing McKnight",2,291
"KSI","Dissimulation",15,38.4666666666667
"HARBOUR","Heatwave",11,52.3636363636364
"MGMT","Oracular Spectacular",2,281.5
"Meek Mill","Championships",2,274.5
"Mac Miller","On And On And Beyond",6,91.5
"AJR","The Click",9,60.2222222222222
"Macklemore","GEMINI",3,179.333333333333
"Logic","Under Pressure",3,171
"Fitz and The Tantrums","More Than Just a Dream",2,250.5
"Vance Joy","Dream Your Life Away",3,166.666666666667
"The Score","Pressure",6,83.3333333333333
"Migos","Culture II",3,163.666666666667
"Juice WRLD","Legends Never Die",20,24.55
"SAINt JHN","Ghetto Lenny's Love Songs",9,54.3333333333333
"Fall Out Boy","Save Rock And Roll",9,53.5555555555556
"Logic","Confessions of a Dangerous Mind",13,36.9230769230769
"Macklemore & Ryan Lewis","The Heist",4,116.25
"21 Savage","i am > i was",2,227.5
"Drake","Scorpion",15,30.2666666666667
"BROCKHAMPTON","SATURATION III",3,150.333333333333
"88rising","Head In The Clouds",7,64.1428571428571
"Saint Motel","saintmotelevision",3,149
"Mac Miller","Faces",25,17.84
"Coldplay","A Head Full of Dreams",4,111
"Famous Dex","Dex Meets Dexter",2,220.5
"Mac Miller","Watching Movies with the Sound Off",19,22.9473684210526
"Kanye West","Graduation",5,87
"Drake","Take Care",4,106
"Cage The Elephant","Melophobia",2,208
"J. Cole","Cole World: The Sideline Story",4,103.5
"Lil Skies","Shelby",8,51.375
"Quinn XCII","A Letter To My Younger Self",9,45
"Polo G","THE GOAT",4,100
"Wallows","Nothing Happens",2,193.5
"Aries","WELCOME HOME",5,75.4
"Jack Harlow","Thats What They All Say",15,24.9333333333333
"Hozier","Wasteland, Baby!",14,25.9285714285714
"The Kid LAROI","F*CK LOVE",8,44.25
"Lewis Capaldi","Divinely Uninspired To A Hellish Extent",5,70.4
"Big Sean","I Decided.",4,87.75
"Juice WRLD","Spider-Man: Into the Spider-Verse",4,87.5
"Drake","More Life",2,174.5
"Smokepurpp","Bless Yo Trap",2,172
"Joji","Nectar",17,20.2352941176471
"Avicii","True",2,169
"Lil Baby","My Turn",5,67.2
"Briston Maroney","Miracle",3,111.666666666667
"Calvin Harris","Motion",3,110.666666666667
"Tyler, The Creator","Flower Boy",2,164.5
"Olympic Ayres","Leisureplex",2,164
"Twenty One Pilots","Blurryface",3,108.666666666667
"Kid Cudi","Man On The Moon: The End Of Day",4,77.5
"Kanye West","My Beautiful Dark Twisted Fantasy",3,102.666666666667
"Rich Brian","The Sailor",11,28
"Gunna","WUNNA",6,51
"Portugal. The Man","Woodstock",2,152
"Hozier","Hozier",15,20.1333333333333
"Carolina Liar","Coming To Terms",2,150.5
"Drake","The Best In The World Pack",2,149.5
"Lil Nas X","Old Town Road",4,73.5
"Logic","Everybody",3,97.3333333333333
"KSI","New Age",4,72.75
"Zedd","True Colors",3,96.3333333333333
"Quinn XCII","The Story of Us",14,20.5714285714286
"COIN","How Will You Know If You Never Try",3,94.6666666666667
"Carnage","Battered Bruised & Bloody",4,70.75
"Future","High Off Life",5,56.4
"Jack Harlow","Loose",13,21.6153846153846
"Sarah and the Sundays","The Living End",14,20
"Logic","Uncle Drew (Original Motion Picture Soundtrack)",2,140
"Bastille","Wild World",2,139.5
"DaBaby","Baby On Baby",3,92.3333333333333
"The Backseat Lovers","When We Were Friends",2,135.5
"Rex Orange County","Bcos U Will Never B Free",8,33.125
"Kanye West","Yeezus",2,132
"OneRepublic","Oh My My",3,86.6666666666667
"Ski Mask The Slump God","You Will Regret",2,130
"Baby Keem","The Melodic Blue",16,16.0625
"Jonas Brothers","Happiness Begins",4,64
"Lil Nas X","7 EP",7,35.5714285714286
"Jalen Santoy","II Shepherds",2,123.5
"The Script","The Script",2,122.5
"Mac Miller","I Love Life, Thank You",13,18.7692307692308
"Grady","The in Between",2,121.5
"Mac Miller","Spotify Singles",11,21.4545454545455
"Gym Class Heroes","The Papercut Chronicles II",2,117.5
"J. Cole","KOD",5,45.2
"Chance the Rapper","Coloring Book",2,107
"Amine","ONEPOINTFIVE",2,106
"Hippo Campus","Landmark",2,105.5
"X Ambassadors","VHS",2,105
"Surfaces","Where the Light Is",2,105
"ODESZA","A Moment Apart",2,104
"No Suits","SEX",2,104
"J. Cole","Born Sinner",2,103.5
"Calvin Harris","18 Months",4,51.5
"Fall Out Boy","Infinity On High",3,66.6666666666667
"Drake","Dark Lane Demo Tapes",10,19.8
"KSI","All Over The Place",17,11.4117647058824
"Fall Out Boy","American Beauty/American Psycho",5,38.8
"Arden Jones","age tape 3",3,64
"Kanye West","ye",2,94.5
"Big Sean","Detroit 2",13,14.3846153846154
"The Score","Myths & Legends",2,93.5
"RL Grime","NOVA",15,12.4666666666667
"Rich The Kid","The World Is Yours",3,62.3333333333333
"Smallpools","LOVETAP!",2,92
"M83","Hurry Up, We're Dreaming",2,91.5
"Bad Suns","Disappear Here",3,59.6666666666667
"iann dior","I'm Gone",9,19.7777777777778
"The Score","Stay",5,35.2
"Internet Money","B4 The Storm",17,10.1764705882353
"Alfie Templeman","Forever Isn't Long Enough",3,57.3333333333333
"Labrinth","Euphoria (Original Score from the HBO Series)",5,33.8
"Flume","Skin",5,33.8
