"Artist","Album","Songs","Plays Per Song"
"Travis Scott","Birds in the Trap Sing McKnight",14,122.785714285714
"Bryson Tiller","T R A P S O U L",18,93.3333333333333
"Isaiah Rashad","Cilvia Demo",14,116.428571428571
"Mick Jenkins","The Water[s]",18,86.1111111111111
"Kendrick Lamar","To Pimp a Butterfly",16,88.9375
"Jack Harlow","Loose",14,99.6428571428571
"Kendrick Lamar","DAMN.",14,98.5714285714286
"Joey Bada$$","B4.DA.$$",22,61.0454545454545
"Frank Ocean","Blonde",17,76.9411764705882
"Jack Harlow","Confetti",12,108.5
"Anderson .Paak","Malibu",16,78.625
"Isaiah Rashad","The Sun's Tirade",17,73.7058823529412
"Kendrick Lamar","good kid, m.A.A.d city",17,72.1764705882353
"Drake","Views",20,57.3
"Lil Uzi Vert","Eternal Atake",49,23.2857142857143
"Travis Scott","Rodeo",17,63.2941176470588
"Travis Scott","ASTROWORLD",17,62.8235294117647
"A$AP Rocky","AT.LONG.LAST.A$AP",18,59
"Chance the Rapper","Coloring Book",14,74.4285714285714
"Aries","WELCOME HOME",9,112.222222222222
"Kendrick Lamar","Section.80",17,59.2352941176471
"Vince Staples","Summertime '06",20,47
"Mick Jenkins","The Healing Component",21,43.2857142857143
"Lil Uzi Vert","Luv Is Rage 2",21,40
"Kanye West","Graduation",16,51.6875
"J. Cole","2014 Forest Hills Drive",14,58.5714285714286
"Bryson Tiller","True to Self",19,42.8947368421053
"ScHoolboy Q","Oxymoron",17,47.8235294117647
"PARTYNEXTDOOR","PARTYMOBILE",15,52.0666666666667
"Playboi Carti","Die Lit",19,41
"NxWorries, Knxwledge, Anderson .Paak","Yes Lawd!",19,40.6842105263158
"Joey Bada$$","ALL-AMERIKKKAN BADA$$",12,62.9166666666667
"PnB Rock","GTTM: Goin Thru the Motions",14,52.8571428571429
"Mick Jenkins","Pieces of a Man",18,41.1111111111111
"Earl Sweatshirt","I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt",10,73.6
"Kanye West","The Life of Pablo",21,34.1428571428571
"Kendrick Lamar","Overly Dedicated",19,36.0526315789474
"Isaiah Rashad","The House Is Burning",16,41.875
"Lil Uzi Vert","Lil Uzi Vert Vs. The World",9,74.3333333333333
"Jaden","SYRE",17,38.9411764705882
"Future","HNDRXX",18,36.7222222222222
"Mike WiLL Made-It","Ransom 2",16,40.5
"Tory Lanez","MEMORIES DON'T DIE",17,37.4705882352941
